Type of building,Number of buildings*,Surface area of buildings (m²)
Office buildings,/,12621188
Education buildings,/,3086236
Hospitals,/,1349199
Hotels and restaurants,/,7785109
Sports halls,/,818667
Buildings shops – retail and wholesale,/,6999372
Other non-residential buildings heated to + 18°C or higher,/,5812076
Of which public buildings,/,10545133
TOTAL,/,38471848
