Period,MEPs – specific annual primary energy Eprim [kWh/(m²a)] - For the whole non-residential building stock [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Office buildings [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Educational buildings [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Hospitals [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Hotels and restaurants [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Sports halls [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Shop buildings – retail and wholesale [m²],MEPs – specific annual primary energy Eprim [kWh/(m²a)] - Other non-residential [m²]
16% by 2030 - MEPs value,475,225,300,590,340,830,510,280
16% by 2030 - Surface area for renovation,6389677,1899015,432498,207609,1134812,120939,1120036,723981
26% to 2033 - MEPs value,310,225,265,495,240,795,495,280
26% to 2033 - Surface area for renovation,3233258,1364952,258314,258314,766662,76092,778728,617619
By 2040 - MEPs value,190,165,125,345,190,480,475,150
By 2040 - Surface area for renovation,15674496,5034975,1347890,1347890,3217439,341537,2703800,2480285
By 2050 - MEPs value,100,100,50,252,190,90,175,75
By 2050 - Surface area for renovation,10448859,3428170,837752,837752,2144944,225158,1905820,1578185
TOTAL - Surface area for renovation,35746290,11727112,2867454,1253692,7263857,763726,6508384,5400070
