Type of building,Annual greenhouse gas emissions in 2023 [kgCO2eq/(m²a)],Annual greenhouse gas emissions in 2020 [kgCO2eq/(m²a)],Annual greenhouse gas emission reduction [kgCO2eq/(m²a)],Share of total reduction (%)
Residential buildings,28.25,29.66,-1.41,37
Non-residential buildings,43.86,46.25,-2.39,63
TOTAL,72.11,75.91,-3.80,
