Type of building,Reduction of annual operational greenhouse gas emissions [kgCO2eq/(m²a)] - 2030,Reduction of annual operational greenhouse gas emissions (%) - 2030,Reduction of annual operational greenhouse gas emissions [kgCO2eq/(m²a)] - 2040,Reduction of annual operational greenhouse gas emissions (%) - 2040,Reduction of annual operational greenhouse gas emissions [kgCO2eq/(m²a)] - 2050,Reduction of annual operational greenhouse gas emissions (%) - 2050
Residential buildings,-2.45,9,-9.37,33,-13.05,46
Non-residential buildings,-11.26,26,-17.83,41,-20.62,47
TOTAL,-4.17,13,-11.01,35,-14.52,46
