System design,Family houses [kten],Family houses (%),Multi-dwelling buildings [kten],Multi-dwelling buildings (%),Total residential buildings [kten],Total residential buildings (%)
Decentralised systems,594,59,214,49,807,56
Central and centralised systems,415,41,219,51,635,44
TOTAL,1009,100,433,100,1442,100
