Type of building,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - continent Θmm≤ 3°C - F0≤0.20,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - continent Θmm≤ 3°C - 0.20<f0<1.05,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - continent Θmm≤ 3°C - F0≥1.05,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - coastal Θmm>3°C - F0≤0.20,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - coastal Θmm>3°C - 0.20<f0<1.05,Requirements for new buildings nZEB - Q"H,nd [kWh/(m²·a)] - coastal Θmm>3°C - F0≥1.05,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - Kont. Θmm≤3°C - F0≤0.20,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - Kont. Θmm≤3°C - 0.20<f0<1.05,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - Kont. Θmm≤3°C - F0≥1.05,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - reception. Θmm>3°C - F0≤0.20,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - reception. Θmm>3°C - 0.20<f0<1.05,Requirements for new buildings nZEB - Eprim [kWh/(m²·a)] - reception. Θmm>3°C - F0≥1.05
Multi-dwelling,40.50,32.39 + 40.58·f0,75.00,24.84,19.86 + 24.89·f0,45.99,40.50,32.39 + 40.58·f0,75.00,24.84,19.86 + 24.89·f0,45.99
Family house,40.50,32.39 + 40.58·f0,75.00,24.84,17.16 + 38.42·f0,57.50,40.50,32.39 + 40.58·f0,75.00,24.84,17.16 + 38.42·f0,57.50
Office,16.94,8.82 + 40.58·f0,51.43,16.19,1.21 + 24.89·f0,37.34,16.94,8.82 + 40.58·f0,51.43,16.19,1.21 + 24.89·f0,37.34
Educational,11.98,3.86 + 40.58·f0,46.48,9.95,4.97 + 24.91·f0,31.13,11.98,3.86 + 40.58·f0,46.48,9.95,4.97 + 24.91·f0,31.13
Hospital,18.72,10.61 + 40.58·f0,53.21,46.44,41.46 + 24.89·f0,67.60,18.72,10.61 + 40.58·f0,53.21,46.44,41.46 + 24.89·f0,67.60
Hotel and Restaurant,35.48,27.37 + 40.58·f0,69.98,11.50,6.52 + 24.89·f0,32.65,35.48,27.37 + 40.58·f0,69.98,11.50,6.52 + 24.89·f0,32.65
Sports hall,96.39,88.28 + 40.58·f0,130.89,37.64,32.66 + 24.91·f0,58.82,96.39,88.28 + 40.58·f0,130.89,37.64,32.66 + 24.91·f0,58.82
Trade,48.91,40.79 + 40.58·f0,83.40,13.90,8.92 + 24.91·f0,35.08,48.91,40.79 + 40.58·f0,83.40,13.90,8.92 + 24.91·f0,35.08
