Energy use purpose/subsystem,Primary energy consumption in 2023 - Residential buildings [kten],Primary energy consumption in 2023 - Residential buildings (%),Primary energy consumption in 2023 - Non-residential buildings [kten],Primary energy consumption in 2023 - Non-residential buildings (%),Primary energy consumption in 2023 - Total [kten],Primary energy consumption in 2023 - Total (%)
Heating,1717,65,441,48,2158,61
Cooling,27,1,90,10,118,3
Preparation of DTV,378,14,78,9,456,13
Ventilation,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Lighting,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Other technical systems,525,20,309,34,834,23
TOTAL,2647,100,919,100,3566,100
