Energy use purpose/subsystem,Final energy consumption in 2023 - Residential buildings [kten],Final energy consumption in 2023 - Residential buildings (%),Final energy consumption in 2023 - Non-residential buildings [kten],Final energy consumption in 2023 - Non-residential buildings (%),Final energy consumption in 2023 - Total [kten],Final energy consumption in 2023 - Total (%)
Heating,1442,65,313,48,1755,61
Cooling,23,1,64,10,87,3
Preparation of DTV,317,14,55,9,373,13
Ventilation,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Lighting,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.,n.e.c.
Other technical systems,441,20,219,34,659,23
TOTAL,2223,100,651,100,2874,100
