Type of building,Total greenhouse gas emissions in 2023 [MtCO2eq],Greenhouse gas emissions per building area in 2023 [kgCO2eq/(m²a)]
Residential buildings,3.81,28.25
Family houses,2.47,
Multi-dwelling buildings,1.34,
Non-residential buildings,1.80,43.86
Office,0.39,
Educational,0.27,
Hospitals,0.12,
Hotels and restaurants,0.24,
Sports halls,0.07,
Shops,0.35,
Other,0.36,
TOTAL,5.61,31.89
