Buildings,Final energy consumption savings [kten] - 2030,Final energy consumption savings [kten] - 2040,Final energy consumption savings [kten] - 2050,Savings in primary energy consumption [kten] - 2030,Savings in primary energy consumption [kten] - 2040,Savings in primary energy consumption [kten] - 2050
Residential,-545,-1126,-1421,-328,-784,-1079
Non-residential,-59,-187,-246,11,-67,-111
TOTAL,-604,-1313,-1667,-316,-851,-1190
