Type of building,Total occupied buildings,Brick (with concrete plate),Brick (beaded without reinforced concrete),Reinforced concrete (with plate and columns),Of panels (prefabricated elements),Other,Other % of total
House,1 065 584,508 707,433 852,17 732,1 453,103 840,9.7 %
"Apartment block, cooperative",77 428,50 374,2 977,14 214,9 812,51,0.1 %
Mixed-type building (over 60 % residential),2 450,1 684,297,426,40,3,0.1 %
Dormitory,343,152,33,75,83,0,0.0 %
Vila,6 578,4 670,1 090,272,109,437,6.6 %
Summer cuisine,0,0,0,0,0,0,0.0 %
Collective household building,595,423,77,73,15,7,1.2 %
Total No,1 152 978,566 010,438 326,32 792,11 512,104 338,9.0 %
Total %,100.0 %,49.1 %,38.0 %,2.8 %,1.0 %,9.0 %,
