Building Type,Renovation Depth,Number of buildings renovated in year X-2,Total floor area in year X-2 (m2),Renovation rate in year X-2 (%),Estimated average renovation rate in year X-2 (%)
Residential,Light,8,39 491,0.01 %,
Residential,Medium,176,1 150 786,0.38 %,
Residential,Deep,119,235 690,0.08 %,
Residential,Total,303,1 425 867,,56.67 %
