New or renovated,Cumulative number of NZEB in 2025,Cumulative floor area of NZEB in 2025 (m2),Cumulative number of ZEB in 2025,Cumulative floor area of ZEB in 2025 (m2)
New,N.A,N.A,0,0
Renovated,44,86 674,0,0
Total,44,86 674,0,0
