Code,Building Type,M/Miav,Total GHG emissions in 2023 (MtCO2eq),GHG emissions per m2 in 2023 (kgCO2eq/(m2.y))
R,Residential,M,7.5,19
NR,Non-residential,M,4.72,50.59
T,Total,M,12.22,
