Building type,Total occupied buildings,by end of 1949,1950-1959,1960-1969,1970-1979,1980-1989,1990-1999,2000-2009,2010-2021
House,1065584,157121,182619,256971,186476,143159,66466,39906,32866
"Apartment block, cooperative",77428,3652,3815,10956,15034,14678,9048,11225,9020
Mixed-type building (over 60 % residential),2450,394,153,266,204,174,242,600,417
Dormitory,343,26,18,50,115,71,27,13,23
Vila,6578,106,118,361,908,1793,1269,1256,767
Summer cuisine,0,0,0,0,0,0,0,0,0
Collective household building,595,72,43,82,101,81,31,60,125
Total No,1152978,161371,186766,268686,202838,159956,77083,53060,43218
Total %,100.0 %,14.0 %,16.2 %,23.3 %,17.6 %,13.9 %,6.7 %,4.6 %,3.7 %
