Building type,Expected reduction of annual operational greenhouse gas emissions (kgCO2eq/(m².y)) - 2030,Expected reduction of annual operational greenhouse gas emissions (kgCO2eq/(m².y)) - 2040,Expected reduction of annual operational greenhouse gas emissions (kgCO2eq/(m².y)) - 2050
Residential,6.24,Value in Year (2040) – value in Year (X-2),Value in Year (2050) – value in Year (X-2)
Non-residential,4.42,17.26,26.24
Total,10.66,Savings residential + non-residential,Savings residential + non-residential
