Type of building,2020 Buildings (No),2020 Dwellings (No),2020 Useful area (m2),2020 TFA (m2),2025 Buildings (No),2025 Dwellings (No),2025 Useful area (m2),2025 TFA (m2)
House (single-family residential building),1 291 549,1 490 460,118 318 032,118 318 032,1 083 800,1 333 594,125 833 282,125 833 282
"Block of flats, cooperative (multi-apartment block)",74 349,1 714 115,122 314 615,134 030 503,82 198,1 978 462,148 780 268,163 285 531
Total,1 365 898,3 204 575,240 632 647,252 348 535,1 165 998,3 312 056,274 613 550,289 118 813
