Building type,Dwellings in occupied buildings,Occupied dwellings,Vacant dwellings in occupied buildings,Proportion not reported (%)
House,1 301 432,1 225 170,76 262,5.9 %
Apartment block/cooperative,1 876 742,1 333 674,543 068,28.9 %
Mixed-type building (over 60 % residential),28 508,17 543,10 965,38.5 %
Dormitory,24 653,16 115,8 538,34.6 %
Vila,7 406,6 852,554,7.5 %
Collective household building,845,824,21,2.5 %
Other,0,3 535,,
Total,3 239 586,2 603 713,635 873,19.6 %
