Code,Building Type,M/Miav,Final energy consumption - Year 2023 (ktoe),Final energy consumption - Year 2020 (ktoe),Primary energy consumption - Year 2023 (ktoe),Primary energy consumption - Year 2020 (ktoe)
R,Residential,M,2047,2382,3848,4137
R = (a) + (b1) or R = (a) + (b2),,,
Out of which:,,,
(a),single-family houses of different types,Miav,133,155,250,269
(B1),apartment blocks or Multi-Family buildings,Miav,1914,2227,3598,3868
NR,Non-residential,M,1263.38,,2371.09,,
NR = (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j) + (K),,,
Out of which:,,,
(c),Offices,Miav,172.76,,337.21,,
(d),Educational buildings,Miav,72.56,,136.19,,
(e),Kindergartens and nursery,Miav,24.99,,46.90,,
(f),Hospitals & healthcare buildings,Miav,179.67,,337.21,,
(g),Hotels and restaurants,Miav,92.02,,172.70,,
(h),Wholesale and retail trade services buildings,Miav,,,,
(i),Sport facilities,Miav,,,,
(j),Culture and art buildings,Miav,,,,
(K),Other type (individual energy class scales),Miav,,,,
T,Total,M,3310.38,,6219.09,,
