Type of building,Total buildings (No),Occupied buildings (No),Occupied useful area (m2),Occupied dwellings (No),Buildings not occupied (No)
House,1 858 596,1 065 584,122 229 230,1 301 432,793 012
"Apartment block, cooperative",83 382,77 428,140 898 110,1 876 742,5 954
Mixed-type building (over 60 % residential),3 415,2 450,2 348 445,28 508,965
Dormitory,615,343,755 031,24 653,272
Vila,109 542,6 578,739 520,7 406,102 964
Summer cuisine,66 949,0,0,0,66 949
Collective household building,622,595,517 394,845,27
Total,2 123 121,1 152 978,267 487 730,3 239 586,970 143
