Flooring,Share of all blocks,Likely type of roof,Slatted roofs,Flat roofs,Argumentation
1-2 floors,0-3 %,skates and rays,90 %,10 %,Rare blocks; mainly small city cooperatives
3 floors,16 %,"mixed, skates and rays predominate",80 %,20 %,"Cooperatives of 1950-1980, traditional construction"
4 floors,26 %,"mixed, skates and rays predominate",70 %,30 %,"Cooperatives of 1950-1980, traditional construction"
5 floors,21 %,predominantly flat,40 %,60 %,"Blocks BS-69, TOS-67, PC, etc."
6 floors,13 %,almost flat,5 %,95 %,Industrial systems typical of large cities
7 floors,7 %,almost flat,5 %,95 %,High construction requiring flat roofs
8 floors,9 %,flat,2 %,98 %,Standard projects from the 70-80s
9 floors,2 %,flat,1 %,99 %,EPC and mass industrial systems
10+ floors,3 %,flat,0 %,100 %,High construction - normative and constructive
