End use,Residential - Primary energy consumption 2023 (ktoe),Residential - Final energy consumption 2023 (ktoe),Non-residential - Primary energy consumption 2023 (ktoe),Non-residential - Final energy consumption 2023 (ktoe)
Space heating,2 201,1 171,1353.85,721.37
Space cooling,838,446,324.24,172.76
Hot domestic water,368,196,136.19,72.56
Ventilation,4,2,46.90,24.99
Built-in Lighting,348,185,337.21,179.67
Other technical building systems,89,48,172.70,92.02
Total,3 848,2 047,2371.09,1263.38
