Worst-performing buildings None,None,None,Number of buildings None,None,None,Floor area (m²),None,None,None
,,,Year X-2,2020,Year X-2,Year X-2,2020,2020,
,,,,,,,,,
Residential,,,"711,867","798,293","136,204,300",,"150,321,000",,
Non-Residential,,,"45,667","73,822","43,963,500",,"69,462,600",,
Total,,,"757,534","872,115","180,167,800",,"219,783,600",,
