Choice of indicator None,None Thresholds111,None,Primary energy use If thresholds are defined to whole building stock None,None Whole building stock,None
,the 16 pct. threshold,,190,190,
,kWh/(m².y),,,,
,the 26 pct. threshold,,168,,
,kWh/(m².y),,,,
,the “2040” threshold,,139,,
,kWh/(m².y),,,,
,the “2050” threshold,,97,,
,kWh/(m².y),,,,
