,,2030,2033,,,2040,2050,,Total
C,,,,,,,"5,738",,"5,738"
D,,,,,"1,228",,"7,156",,"8,384"
E,,,885,,"1,234",,"2,830",,"4,949"
F,,269,582,,464,,849,,"2,164"
G,,725,502,,405,,805,,"2,437"
Total,,995,"1,969",,"3,330",,"17,378",,"23,672"
