Code None,None,None,Building type None,None,None,None,M/ Miav,None,None,No of buildings / build- ing units,None,None,None,None,None,Floor area (m²),None,None,None,None
,,,,,,,,,,Year X-2,,,2020,,,Year X-2,,,2020,
R,,,Residential Out of which,,,M24,,,"1,855,545",,,"1,818,366",,,"355,029,000",,,"342,404,000",,
(a),,,single-family houses of different types,,,Miav25,,,"1,751,761",,,"1,717,704",,,"250,721,000",,,"244,302,000",,
(b1),,,apartment blocks or multi-family build- ings26,,,Miav,,,"103,784",,,"100,662",,,"104,308,000",,,"98,102,000",,
