Year,,,Number of buildings,,,Floor area (1000 m2)
2030,,610,,,995,
2033,,"1,208",,,"1,969",
2040,,"2,043",,,"3,330",
2050,,"10,658",,,"17,378",
Total,,"14,519",,,"23,672",
