Area None,Measure None,None,Annual effect used (TJ/year),None,None,Cumulative energy (TJ),None,None,Cumulative GHG (tCO₂),None,None,Baseline en- ergy (TJ),None,None,Baseline GHG (tCO₂),None
Heating,EP,135.85,,,407.54,,,"38,792.85",,,5.55,,,297.13,,
Cooling,EP + Building Code,11.57,,,34.71,,,304.04,,,15.51,,,107.74,,
