None,Primary energy factors per en-,None,None,"Non-Renewable (NREN) in Years 2030, 2040,",None,None,None,None,"Renewable (REN) in Years 2030, 2040,",None,None,None,"Total in Years 2030, 2040, 2050 None",None,None
,ergy carrier,,,2050,,,,,2050,,,,,,
District heating,,,0.11,,0.10,0.09,,0.76,,0.67,0.68,,0.87,0.76,0.77
Electricity,,,0.01,,0.01,0.01,,1.35,,1.15,1.10,,1.36,1.16,1.11
Gas,,,0.15,,-,-,,1.20,,1.40,1.40,,1.36,1.40,1.40
Biomasse,,,-,,-,-,,1.20,,1.20,1.20,,1.20,1.20,1.20
Oil,,,1.10,,1.10,1.10,,-,,-,-,,1.10,1.10,1.10
