From \ To,D,C,B,A,A+,A++
A+,,,,,,70
A,,,,,70,140
B,,,,205,275,345
C,,,100,305,375,445
D,,100,200,405,475,545
E,100,200,300,505,575,645
F,200,300,400,605,675,745
G,300,400,500,705,775,845
