Building type,Label,2025-2029,2030-2034,2035-2039,2040-2044,2045-2050
Apartments,A++,0.5%,1.0%,2.0%,5.0%,10.0%
Apartments,A+,10.0%,13.0%,13.0%,95.0%,90.0%
Apartments,A,67.5%,80.0%,85.0%,0.0%,0.0%
Apartments,B,22.0%,6.0%,0.0%,0.0%,0.0%
Houses,A++,6.0%,8.0%,10.0%,12.0%,14.0%
Houses,A+,13.0%,16.0%,20.0%,22.0%,26.0%
Houses,A,36.0%,45.0%,50.0%,66.0%,60.0%
Houses,B,45.0%,31.0%,20.0%,0.0%,0.0%
