Indicator,2024-2030,2031-2035,2036-2040,2041-2045,2046-2050
Number of buildings renovated annually (average over the period),40836,33784,22809,19458,20195
Floor area renovated annually (average over the period) [million m2],6.5,5.4,3.7,3.1,3.2
Average renovation rate over the period [%],6.35%,10.49%,7.11%,5.92%,5.96%
