Category,Number
ADMINISTRATIVE,1632
OTHER,874
BIBLIOTHEQUE,196
COMMUNAL,430
CRECHE,380
ECOLE,5936
HOPITAL,118
MUSEUM,471
PISCINE,78
PRISON,14
REPOS,385
SPORT,703
TOTAL,11217
