Part of the park studied,Indicator,2024-2030,2031-2040,2041-2050
Total residential park,Number of buildings to be renovated annually,50984,89630,96564
Total residential park,Annual renovation rate,3.00%,5.12%,5.18%
43% worst performers,Number of buildings to be renovated annually,40836,56593,39652
43% worst performers,Annual renovation rate,6.35%,8.80%,5.94%
