Type of energy,Type of buildings,2030 [TWh],2040 [TWh],2050 [TWh]
Primary energy,Houses,-12.29,-42.72,-65.85
Primary energy,Apartments,-0.39,-2.53,-5.26
Primary energy,Total,-12.68,-45.25,-71.11
