From \ To,D,C,B,A,A+,A++
A+,,,,,,70
A,,,,,70,140
B,,,,470,540,610
C,,,70,540,610,680
D,,70,140,610,680,750
E,70,140,210,680,750,820
F,140,210,280,750,820,890
G,210,280,350,820,890,960
