Energy Vector,Emission factors 2020 [gCO2eq/kWh],Emission factors 2050 [gCO2eq/kWh]
Fuel oil,268,268
Gas,203,152
Electricity,64,18
Biomass,19,19
Heat networks,142,3
Average Emission Factor - Residential,193,18
Average Emission Factor - Non-residential,174,11
