Category,2020,2022,2030,2035,2040,2045,2050
Self-sufficiency [MW],107,356,1121,1321,1471,1559,1640
Medium [MW],162,229,1156,1876,2341,2421,2486
Large [MW],81,116,960,1680,2205,2327,2441
Free standing [MW],2,7,217,577,937,997,1062
TOTAL [MW],353,708,3454,5454,6954,7304,7629
Self-sufficiency share,30%,50%,32%,24%,21%,21%,21%
Medium share,46%,32%,33%,34%,34%,33%,33%
Large share,23%,16%,28%,31%,32%,32%,32%
Free standing share,1%,1%,6%,11%,13%,14%,14%
