Purpose of use of buildings,Unit,2020-2030,2031-2040,2041-2050
Single-family buildings,[GWh],89.9,54.9,40.0
Multi-dwelling buildings,[GWh],23.2,14.1,12.5
Public sector buildings,[GWh],22.5,21.8,22.1
Other services sector buildings,[GWh],19.7,29.5,32.5
Total Housing,[GWh],113.1,69.1,52.5
Total services sector,[GWh],42.3,51.2,54.6
Total buildings,[GWh],155.3,120.3,107.1
