Purpose of use of buildings,Unit,2023,2030,2040,2050
Single-family buildings,[ktoe],624.8,489.4,396.3,357.3
Multi-dwelling buildings,[ktoe],189.4,168.8,149.9,138.1
Public sector buildings,[ktoe],131.5,123.8,115.5,107.8
Other services sector buildings,[ktoe],203.8,193.8,190.6,188.8
Total Housing,[ktoe],814.2,658.2,546.3,495.5
Total services sector,[ktoe],335.3,317.5,306.1,296.6
Total buildings,[ktoe],1149.4,975.7,852.3,792.0
