Household type,Share of households in energy poverty (%) 2024
Households without dependent children,8.8
One-person household,14.3
Two adults excluding dependent children,4.6
Single parent household with at least one dependent child,13.7
Two adults with one dependent child,2.5
Two adults with two dependent children,3.4
Two adults with at least three dependent children,4.9
Other households with dependent children,1.9
