Purpose of use of buildings,Unit,2020-2030,2031-2040,2041-2050
Single-family buildings,[%],2.06%,1.64%,1.42%
Multi-dwelling buildings,[%],2.58%,1.63%,1.71%
Public sector buildings,[%],3.05%,3.93%,4.88%
Other services sector buildings,[%],1.52%,2.21%,2.31%
Total Housing,[%],2.19%,1.64%,1.49%
Total services sector,[%],2.08%,2.72%,2.94%
Total buildings,[%],2.16%,1.97%,1.99%
