Scenario,Unit,2020,2030,2035,2040,2050
MA Scenario,GWh,368,2006,2595,3204,4485
DU-JE scenario,GWh,368,3757,6037,7834,8901
DU-OVE scenario,GWh,368,3757,6314,8960,13480
