Category,2020,2022,2030,2035,2040,2045,2050
Self-sufficiency [MW],107,356,1121,1346,1538,1695,1830
Medium [MW],162,229,1156,1921,2663,3314,3734
Large [MW],81,116,960,1770,2580,3378,3948
Free standing [MW],2,7,217,667,1173,1667,2042
TOTAL [MW],353,708,3454,5704,7954,10054,11554
Self-sufficiency share,30%,50%,32%,24%,19%,17%,16%
Medium share,46%,32%,33%,34%,33%,33%,32%
Large share,23%,16%,28%,31%,32%,34%,34%
Free standing share,1%,1%,6%,12%,15%,17%,18%
