Purpose of use of buildings,Unit,2020-2030,2031-2040,2041-2050
Single-family buildings,[1000 m2],1048.2,889.6,799.0
Multi-dwelling buildings,[1000 m2],467.2,309.9,336.7
Public sector buildings,[1000 m2],293.6,378.8,470.2
Other services sector buildings,[1000 m2],258.1,503.5,690.5
Total Housing,[1000 m2],1515.4,1199.6,1135.6
Total services sector,[1000 m2],551.7,882.2,1160.8
Total buildings,[1000 m2],2067.1,2081.8,2296.4
