Type and Year of construction,Until 1900,1901-1940,1941-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020,Total
Individual buildings,8237,82457,71898,55830,69888,55607,11821,6305,2011,364055
Single occupancy,8033,80412,70813,55568,69670,55470,11799,6276,1922,359962
Double occupancy,204,2046,1085,262,218,137,22,30,89,4093
Multi-apartment,990,6654,2619,3338,2662,1656,491,83,2,18494
Multi-apartment block (1000 square meters),8,151,74,64,99,140,87,12,0,633
Multi-apartment building (1000-15000 m²),978,6455,2485,3125,2288,1226,243,32,2,16835
Multi-apartment block (above 1500 square metres),4,48,60,150,275,290,161,39,0,1026
E.g. social groups,10,73,39,23,29,22,4,4,2,205
Total,9238,89184,74556,59191,72579,57284,12316,6392,2015,382755
