Type of buildings,2030,2033,2035,2040,2045,2050
Residential buildings,3%,4%,5%,25%,50%,87%
Single and double occupancy,2%,3%,4%,24%,49%,87%
Multi-apartment buildings,20%,26%,30%,45%,62%,86%
Of which 43% worst-performing buildings,3%,4%,5%,28%,56%,100%
Of which single and double occupancy,27%,30%,35%,53%,71%,100%
Of which multi-apartment buildings,2%,3%,4%,27%,55%,100%
Non-residential buildings,17%,26%,33%,52%,70%,87%
