Works carried out for the renovation (modernisation) of multi-apartment buildings,% Of multi-apartment buildings covered by works
Modernisation of the heating system (replacement of hot and circulating water mains replacement of the heating circulating pump replacement of heating stand fans replacement of heating stand fans replacement of the hot water control transmission etc.),19.7
Window replacement work for apartments and other premises,6.1
Staircase replacement work for windows and doors,64.9
Glazing of balconies,0.4
Wall insulation work,5.5
Roof insulation work,1.7
Basement overhead insulation work,0.2
Replacement of a lift,1.0
