Type of buildings,GHG emissions (tonnes CO2eq) - 2030,GHG emissions (tonnes CO2eq) - 2040,GHG emissions (tonnes CO2eq) - 2050
Residential buildings,240470.2,736281.4,1809872.1
Non-residential buildings,54765.0,352876.2,1093600.8
Total savings,295235.2,1089157.6,2903472.9
