Year,Number of projects (units),Building area (m²),Emissions of the building before the project (kg/m²/y),Projected CO2 emissions of the building (kg/m²/y) after the project,Change in CO2 emissions (kg/m²/y)
2024,23,51000,N/A,N/A,N/A
2022,16,68000,N/A,N/A,N/A
Total,39,119000,N/A,N/A,N/A
