Type of buildings,Units,Area (m2)
All residential buildings,522391,124037480
Of which part of buildings to be renovated,467312,108881494
Of which 43 % worst in terms of energy performance,382755,53191669
Of which detached houses,364015,43108577
Of which multi-apartment buildings,18740,10083092
