RES share in gross final energy consumption,2025,2027,2030,2050
Share of RES-E in final energy consumption of the electricity sector (%),52.5,72.1,100,100
RES share in heating and cooling (%),63.0,69.6,80,100
Of which RES share in DH (%),81.28,84.65,90,100
