Energy use,2030,2040,2050
Heating,10077.1,8615.2,5227.7
Hot water preparation,5196.8,4442.9,2696.0
Cooling and ventilation,425.3,363.6,220.6
Pre-installed lighting,391.5,334.7,203.1
Total,16090.7,13756.4,8347.4
