Energy use,2030,2040,2050
Heating,12513.8,10858.6,7265.4
Hot water preparation,5922.0,5138.7,3438.2
Cooling and ventilation,950.0,824.4,551.6
Pre-installed lighting,874.6,758.9,507.8
Total,20260.4,17580.5,11763.0
