Indicator 1.2,2030,2040,2050
Primary energy consumption (GWh),20260.4,17580.5,11763.0
Final energy consumption (GWh),16090.7,13756.4,8347.4
RES share in final energy consumption of the building sector (%),90,95,100
GHG emission targets (tCO2eq/m),6732392.0,5938469.6,4124154.4
GHG emission savings (t CO2eq/m) (compared to 2020),295235.2,1089157.6,2903472.9
Share of people living in households unable to afford sufficient heating due to lack of money (%),8.6,4.3,0
