Year,Number of projects (units),Building area (m²),Annual energy savings (GWh),Annual CO2 savings (t),Change in CO2 emissions (kg/m²/y)
2024,40,151100,13.3,1330,8.8
2023,36,96464,8.5,850,8.8
2021-2022,6,8630,0.82,82,9.5
Total,82,256194,22.62,2262,8.98
