Type of buildings,Primary energy savings (GWh) - 2030,Primary energy savings (GWh) - 2040,Primary energy savings (GWh) - 2050,Final energy consumption savings (GWh) - 2030,Final energy consumption savings (GWh) - 2040,Final energy consumption savings (GWh) - 2050
Residential buildings,709.8,2319.1,5926.7,1035.9,2868.9,6582.1
Non-residential buildings,133.2,858.2,2659.6,155.6,1002.5,3106.9
Total savings,843.0,3177.3,8586.3,1191.5,3871.4,9689.0
