Heat source,Until 1900,1901-1940,1941-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020,Total
Centralised,155,1783,948,1091,1176,951,352,72,2,6530
Electricity,38,228,164,120,144,105,41,38,18,896
Incineration (boiler etc.),8998,86147,72735,57263,70462,55592,11733,6120,1943,370993
Incineration and electricity,26,456,360,230,275,201,93,114,47,1802
Various combinations,21,570,349,487,522,435,97,48,5,2534
Total,9238,89184,74556,59191,72579,57284,12316,6392,2015,382755
