Type of buildings,Number of buildings (units) 2020,Number of buildings (units) 2025,Surface area of buildings m2 2020,Surface area of buildings m2 2025
Residential,439508,444182,100506237,102372169
Non-residential,48047,48631,49001670,49631190
Total,487555,492813,149507907,152003359
