,2021,2025,2030,2035,2040,2045,2050
Share of new dwellings in total,"1,6%","1,6%","1,6%","1,5%","1,4%","1,2%","1,2%"
New dwellings,7357,7706,8324,8653,8666,7900,8385
Total housing stock (thousands),473,503,543,585,628,666,707
Primary energy consumption (kWh/m²/year),100,100,50,50,50,50,50
