,Fuel,Hotels,Private offices,Retail outlets (shops),Hospitals and clinics,Supermarkets and department stores,Restaurants
Central heating with oil boiler,Oil,43%,41%,12%,31%,11%,28%
Central heating with condensing boiler,Oil or LPG,2%,1%,0%,1%,1%,0%
Central heating with LPG boiler,LPG,10%,4%,2%,4%,1%,3%
Heat pump,Electricity,40%,44%,75%,61%,81%,36%
Heat pump with geoexchanger,Electricity,0%,1%,0%,1%,2%,0%
Self-contained air conditioning units,Electricity,3%,6%,8%,0%,8%,18%
High efficiency self- contained air conditioning units,Electricity,1%,1%,1%,0%,1%,5%
Not at all or other means of heating,N/A,1%,0%,0%,0%,0%,0%
