Detached house 2,675,546,362,321,214,182,107
,"3,15","2,55","1,69","1,5",1,"0,85","0,5"
,,,D,C,B,B,A
Buildings with two or more dwellings,,,,,,,
Double dwellings,644,474,349,307,205,174,102
Blocks of flats,642,520,363,306,204,173,102
Block of flats 1,625,506,363,298,198,169,99
,"3,15","2,55","1,83","1,5",1,"0,85","0,5"
,,,D,C,B,B,A
Block of flats 2,659,534,362,314,209,178,105
,"3,15","2,55","1,73","1,5",1,"0,85","0,5"
,,,D,C,B,B,A
