,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Residential reserve (thousands),421,431,437,441,444,446,449,452,455,460,466,473,482
New dwellings completed (number),13434,9091,6565,3833,2718,2390,2570,2993,3866,4420,6351,7357,8820
Average area by new dwelling (square metres),159,178,178,194,176,190,208,200,198,189,184,186,189
New dwellings as a percentage of total stock,"3,2%","2,1%","1,5%","0,9%","0,6%","0,5%","0,6%","0,7%","0,8%","1,0%","1,4%","1,6%","1,8%"
