No. of | indicator,NBRP Indicator heading,NBRP Indicators,Data (targets) | 2026,2027,2028,2029,2030,Comments
,Targets for the increase in the share of renewable energy (Art 15 a of the RED),,,,,,,
,,% of final energy of RE in the building sector,"19,0%","19,4%","19,9%","20,6%","21,0%",Mandatory
,,of which from autoproduced ren electricity by solar PV,,,,,,Miav
,,of which from autoproduced ren electricity by wind electricity,,,,,,Miav
8A,,of which from autoproduced ren electricity from other source,,,,,,Miav
,,of which renewable electricity produced nearby,,,,,,Miav
,,of which renewable electricity from the grid,,,,,,Miav
,,of which renewable source in purchased heat,,,,,,Miav
,,of which other renewables (than electricity or purchased heat),,,,,,Miav - e.g biofuels
